id,pt_desc1,pt_desc2,pt_um,pt_prod_line,pt_vend
BFZ90424Z,EE25.4A AL156 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90425Z,EEH29C AL375 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90426Z,EEH29C AL375 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90427Z,EEH29A AL110WG MB3,FERRITE CORE,SK,R001,VS014U0H
BFZ90428Z,EEH29A AL120 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90429Z,EEH29A 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90430Z,EEH29C AL200 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90431Z,EER35A AL235 MB3,FERRITE CORE,SK,R001,VS014U0H
BFZ90432Z,EER35A AL235 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90434Z,EEH26D AL270 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90442Z,EEH22B AL140 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90450Z,EE16A AL100 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90451Z,EE16A AL180 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90452Z,EEX31A AL123E 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90459Z,EEH22B AL390 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90460Z,EEH26A AL260 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90463Z,EEH22B AL273 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90464Z,EEH29B AL450 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90466Z,EEH29E AL290 PM12,FERRITE CORE,SK,R001,VS012U0H
BFZ90467Z,EEH22B AL254 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90471Z,EEH26C AL144 PM11,FERRITE CORE,SK,R001,VS012U0H
BFZ90472Z,EE40B AL64WG TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90474Z,EER28B AL193 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90481Z,EE19K AL377 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90487Z,EEH26A AL260 MB3,FERRITE CORE,SK,R001,VS014U0H
BFZ90491Z,EER28A AL180 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90492Z,EER28A AL230 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90494Z,EER42B AL150WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90497Z,EER28A AL100 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90498Z,EER28A AL160 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90500Z,EER28A AL413 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90501Z,EER28A AL250 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90502Z,EER28A AL450 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90503Z,EER28B AL150 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90504Z,EER28B AL230 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90505Z,EER28B AL193 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90509Z,EER4220 AL260 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90512Z,EEPC-25D AL137 MB3,FERRITE CORE,SK,R001,VS014U0H
BFZ90514Z,EMV47S AL228WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90515Z,EMV47S AL385 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90516Z,EEH22B AL340 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90519Z,EER28B AL308 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90523Z,EER4220 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90532Z,EES51A AL110WG PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90533Z,EES51A AL547E PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90538Z,EE40B AL85WG TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90539Z,EER35A AL170 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90540Z,EER42B AL480 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90544Z,EER28A AL126 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90545Z,EER28A AL126 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90546Z,EER28B AL125WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90551Z,EEH29B AL194 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90553Z,EEH26D AL220 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90556Z,EER35A AL50WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90557Z,EER3539 AL236 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90559Z,EEH26C AL225 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90567Z,EE13 AL110 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90569Z,EES51A AL248 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90570Z,EER28B 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90571Z,EE40B AL104WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90572Z,EE40B AL64WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90573Z,EE40B AL85WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90574Z,EER3536 AL163 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90576Z,EER4220 AL90WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90579Z,EER4220 AL113WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90580Z,EER3539 AL165 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90581Z,EER35A AL165 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90583Z,EE28AM AL138 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90584Z,EER28B AL152WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90588Z,EEH26H AL390 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90589Z,EES31.2L AL310 MB4,FERRITE CORE,SK,R001,VS014U0H
BFZ90590Z,EES31.2L AL276 MB4,FERRITE CORE,SK,R001,VS014U0H
BFZ90591Z,EES31.2L AL20WG MB4,FERRITE CORE,SK,R001,VS014U0H
BFZ90593Z,EEH29B AL133 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90597Z,EEH29A AL250 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90598Z,EER4220 AL200 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90599Z,EER4220 AL200 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90600Z,EER42SL AL179E 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90601Z,EER42SL AL179E TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90602Z,EER42B AL448 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90604Z,EPC31.5 AL230 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90605Z,EER35A AL182 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90606Z,EER42K AL290 MB3,FERRITE CORE,SK,R001,VS014U0H
BFZ90610Z,EEH29E AL200 PM12,FERRITE CORE,SK,R001,VS012U0H
BFZ90612Z,EER35A AL148 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90613Z,EEH30A AL29WG PM12,FERRITE CORE,SK,R001,VS012U0H
BFZ90614Z,EER35A AL56WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90615Z,EEH26A AL107WG PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90617Z,EER28A AL115 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90618Z,EER28A AL140 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90619Z,EER28A AL150 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90620Z,EER40A AL164 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90621Z,EEH30A 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90627Z,EER40A AL164 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90628Z,EE19K AL500 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90632Z,EEH29B AL100WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90639Z,EER42SL AL172E 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90640Z,EER42SL AL172E TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90641Z,EEH26B AL340 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90642Z,EER28A AL143 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90644Z,EER3019N AL117EWG PM12,FERRITE CORE,SK,R001,VS012U0H
BFZ90645Z,EES13A AL90 PM12,FERRITE CORE,SK,R001,VS012U0H
BFZ90646Z,EER35A AL114WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90647Z,EER28A AL490 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90650Z,EEH26C AL250 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90652Z,EER35A AL450 MB3,FERRITE CORE,SK,R001,VS014U0H
BFZ90653Z,EER35A AL450 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90654Z,EER42SL AL382E 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90655Z,EER42SL AL382E TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90657Z,EER3536 AL123 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90658Z,EER3536 AL133 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90659Z,EER3542D AL148 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90660Z,EEH26C AL170 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90663Z,EER35A AL140 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90664Z,EE28AM AL190 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90665Z,EE16F MB3,FERRITE CORE,SK,R001,VS014U0H
BFZ90666Z,EE-16A AL80 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90667Z,EE16F AL80 MB3,FERRITE CORE,SK,R001,VS014U0H
BFZ90668Z,EFD2124C AL200 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90669Z,EPC27N AL85 PC44,FERRITE CORE,SK,R001,VSZ01U0C
BFZ90670Z,EER28B AL140 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90671Z,EER28B AL118WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90672Z,EEH26B AL340 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90674Z,EEH26B AL144 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90675Z,EPC4443 AL83WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90676Z,EPC4443 AL477 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90678Z,EER3542D AL235 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90679Z,EE28AM AL255 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90680Z,EEH26D AL100 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90681Z,EPC31.5 AL280 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90682Z,EEH26G AL260 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90687Z,EER3019N AL69EWG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90688Z,EER35SL AL147E 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90689Z,EPC4443 AL396 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90690Z,EER35SL AL502E 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90692Z,EER35A AL235 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90693Z,EQ2021 AL720 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90694Z,PQ2820 AL88WG PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90695Z,EQ2020 AL102 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90698Z,EEH26C AL288 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90699Z,EER3019N AL100WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90700Z,EEH26C AL288 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90701Z,EE25.4A AL390 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90702Z,EER35A AL430 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90703Z,EEH29A AL144 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90704Z,EER3542D AL300 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90705Z,EER35A AL300 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90706Z,EE22A AL170 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90707Z,EER3019N AL150 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90708Z,EPC5050 AL730E PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90709Z,EEH2223 AL210 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90713Z,EE25.4A AL178 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90714Z,EPC4443 AL311 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90718Z,EEH29F AL335 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90719Z,PQ2820 AL98WG PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90720Z,EEH29A AL490 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90724Z,EEH22B AL300 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90727Z,EER28B AL182 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90731Z,EE28AM AL82WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90733Z,EPC31.5 AL300 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90738Z,EER3019N AL100WG PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90739Z,EER3019N AL150 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90740Z,EER3019N AL69EWG PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90741Z,EQ3221 AL94WG PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90744Z,EER4220 AL400 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90745Z,EQ3221 AL77WG PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90748Z,EER3542D AL450 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90751Z,EER42B AL116WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90752Z,EER35SLR AL82E 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90753Z,EER35SLR AL104E 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90754Z,EER3539 AL133WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90760Z,EER35AS AL127WG MB3,FERRITE CORE,SK,R001,VS014U0H
BFZ90762Z,EER3536 AL170 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90763Z,EER3536 AL170 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90764Z,EER3536 AL154 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90765Z,EER3536 AL154 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90766Z,EER3536 AL123 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90768Z,EEH29E AL170 PM12,FERRITE CORE,SK,R001,VS012U0H
BFZ90769Z,EQ3221 AL105WG PM12,FERRITE CORE,SK,R001,VS012U0H
BFZ90770Z,EER3536 AL145 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90772Z,EE-16A AL53 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90773Z,EEH30A AL275 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90776Z,EER40A AL143 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90777Z,EER40A AL143 TP4,FERRITE CORE,SK,R001,NULL
BFZ90778Z,EEH26B AL185 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90781Z,EEH26CD AL345 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90782Z,PQ3226 AL63WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90790Z,EER3019N AL150 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90791Z,PQ3221 AL94WG TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90792Z,PQ3221 AL77WG TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90793Z,EER3019N AL216 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90794Z,EER3019N AL216 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90798Z,EEH29C AL275 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90799Z,EEH29C AL338 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90801Z,EER3542D AL165 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90809Z,EFD2124C AL150 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90810Z,EER3541D AL165 HE4B,FERRITE CORE,SK,R001,NULL
BFZ90811Z,EER3541D AL320 HE4B,FERRITE CORE,SK,R001,NULL
BFZ90812Z,EEH22B AL254 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90814Z,EER3536 AL133 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90823Z,PQ3221 AL117WG TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90824Z,EEH26CD AL320 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90825Z,EPC4443 AL550 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90826Z,EES31.2L AL120 MB4,FERRITE CORE,SK,R001,VS014U0H
BFZ90830Z,PQ3221 AL94WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90832Z,PQ2820 AL88WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90833Z,PQ2820 AL98WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90834Z,PQ3221 AL109WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90835Z,EQ3221 AL109WG PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90836Z,EPC19 AL30 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90837Z,EFD2124C AL260 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90838Z,PQ3513 AL115WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90839Z,EES50 AL500 HE4B,FERRITE CORE,SK,R001,NULL
BFZ90840Z,EES50 AL550 HE4B,FERRITE CORE,SK,R001,NULL
BFZ90841Z,PQ2020 AL102 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90844Z,EER3536 AL230 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90845Z,EEH26C AL150 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90847Z,EPC19 AL30 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90848Z,PQ3513 AL115WG TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90849Z,EPC25 AL137 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90851Z,EES50 AL500 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90852Z,EES50 AL550 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90854Z,EES14 AL260 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90855Z,EES14 AL260 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90857Z,EER28B AL65WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90858Z,EER28B AL65WG TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90859Z,EER3536 AL45WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90860Z,EER3536 AL45WG TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90861Z,PQ3226 AL110WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90862Z,EER40A AL190 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90863Z,EER40A AL190 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90865Z,PQ2020 AL85 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90868Z,EER42B AL219 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90870Z,EES14 AL120 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90875Z,EER3536 AL163 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90887Z,EE22A 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90891Z,EES3826 AL470 MB3,FERRITE CORE,SK,R001,VS014U0H
BFZ90892Z,EE25.4A AL190 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90893Z,EEH29A AL338 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90894Z,EER42B AL82WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90895Z,EES14 AL220 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90897Z,EES51A AL425 PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90898Z,EER4948 AL620 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90899Z,EER4948 AL620 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90900Z,EEX31A AL107WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90901Z,EES50 AL125 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90902Z,EEX31A AL107WG TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90904Z,EES50 AL170 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90906Z,EER49B TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90907Z,EES3826 AL470 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90908Z,PQ2820 AL130WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90909Z,PQ2820 AL130WG PM7,FERRITE CORE,SK,R001,VS012U0H
BFZ90910Z,PQ2820 AL130WG MB3,FERRITE CORE,SK,R001,VS014U0H
BFZ90911Z,EES50 AL120 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90912Z,EER49B AL60WG TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90914Z,EER49B AL35WG TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90916Z,PQ2620 AL320 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90917Z,EE16A AL230 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90918Z,EEH26CD AL194 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90919Z,EER42B AL198 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90920Z,EER42B AL198 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90923Z,EEH29F AL138 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90924Z,EEH29B AL165 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90927Z,EPC31.5 AL112 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90931Z,PQ6554 NH2C (NO GAP),FERRITE CORE,SK,R001,VS053U0C
BFZ90932Z,EES50 AL170 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90933Z,EES50 AL120 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90934Z,PQ3226 AL57WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90937Z,PQ2620 AL250 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90938Z,EPC19 AL68 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90943Z,EER28A AL85WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90944Z,EEH29C AL143 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90945Z,EPC19 AL68 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90946Z,EE-10.2Z AL47 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90947Z,EES14 AL83 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90948Z,EES14 AL150 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90949Z,EEH29E AL170 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90951Z,EES14 AL188 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90952Z,EE-10.2Z AL115 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90954Z,EE8.3/8/3.6 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90955Z,EE8.3 MB3,FERRITE CORE,SK,R001,VS014U0H
BFZ90956Z,PQ2620 AL96WG TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90957Z,PQ2620 AL167 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90958Z,PQ2620 AL96WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90959Z,PQ2620 AL167 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90961Z,EE13 AL85 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90962G,EE16A AL150 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90962Z,EE16A AL150 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90965Z,EEH26B AL255 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90967Z,EEH2223 AL51WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90968Z,EEH29B AL140 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90969Z,EEH2223 AL123 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90970Z,EER28B AL103WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90971Z,EER28B AL103WG TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90973Z,EE19 AL60 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90974Z,EE19 AL58 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90977Z,EPC25 AL295 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90978Z,EE22/24/6 AL181 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90979Z,EE-28.4SL AL182E 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90981Z,EEH29D AL265 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90982Z,EER40A AL126WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90983Z,EER40A AL132WG 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90984Z,EER49B AL296WG TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90985Z,EER25.5S AL240 MB3,FERRITE CORE,SK,R001,VS014U0H
BFZ90986Z,EEH29D AL450 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90987Z,EEH29B AL210 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90988Z,EER28A AL122 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90989Z,EER28A AL122 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90990Z,EER25.5/18/8 AL143 TP4,FERRITE CORE,SK,R001,VS043U0C
BFZ90991Z,EEH26CD AL165 2K3D,FERRITE CORE,SK,R001,VS009U0C
BFZ90992Z,EER28B AL140 TP4,FERRITE CORE,SK,R001,VS043U0C
